prefix,input_text,target_text
translate thai to english,การวิจัยมีวัตถุประสงค์เพื่อ  พัฒนาระบบสารสนเทศเพื่อการวิจัยและบริการวิชาการให้มีประสิทธิภาพ,The objectives of the research were to  develop an information system for research and academic services to effective. 
translate english to thai,The objectives of the research were to  develop an information system for research and academic services to effective. ,การวิจัยมีวัตถุประสงค์เพื่อ  พัฒนาระบบสารสนเทศเพื่อการวิจัยและบริการวิชาการให้มีประสิทธิภาพ
translate thai to english,การวิจัยเริ่มจากการวิเคราะห์ปัญหาของผังโรงงานในปัจจุบัน เพื่อสร้างความสัมพันธ์ของแต่ละกิจกรรมที่เกิดขึ้นภายในพื้นที่โรงงาน เพื่อนำข้อมูลมาออกแบบผังโรงงานทางเลือก 3 รูปแบบ โดยใช้หลักการวางผังโรงงานอย่างเป็นระบบ,The research begins with an analysis of the problems of the current plant layout to establish the relationship of each activity occurring within the factory area in order to use the data to design 3 alternative plant layouts by using the principle of Systematic Layout Planning. 
translate english to thai,The research begins with an analysis of the problems of the current plant layout to establish the relationship of each activity occurring within the factory area in order to use the data to design 3 alternative plant layouts by using the principle of Systematic Layout Planning. ,การวิจัยเริ่มจากการวิเคราะห์ปัญหาของผังโรงงานในปัจจุบัน เพื่อสร้างความสัมพันธ์ของแต่ละกิจกรรมที่เกิดขึ้นภายในพื้นที่โรงงาน เพื่อนำข้อมูลมาออกแบบผังโรงงานทางเลือก 3 รูปแบบ โดยใช้หลักการวางผังโรงงานอย่างเป็นระบบ
translate thai to english,อัลกอริทึมตามปัจจุบันใช้การเปลี่ยนแปลงของกระแสไฟฟ้าโซลาร์เซลล์โดยตรง,The current based algorithm directly uses the change of photovoltaic current. 
translate english to thai,The current based algorithm directly uses the change of photovoltaic current. ,อัลกอริทึมตามปัจจุบันใช้การเปลี่ยนแปลงของกระแสไฟฟ้าโซลาร์เซลล์โดยตรง
translate thai to english,ในขั้นตอนกระบวนการผลิต ก๊าซปิโตรเลียมเหลวเป็นทรัพยากรหลักในการปล่อยก๊าซเรือนกระจก แต่ส่วนใหญ่จะด้อยกว่าก๊าซเรือนกระจกก่อนหน้านี้,"In the manufacturing processes stage, liquefied petroleum gas was the main resource to emit the greenhouse gas a lot however be inferior to the previous one."
translate english to thai,"In the manufacturing processes stage, liquefied petroleum gas was the main resource to emit the greenhouse gas a lot however be inferior to the previous one.",ในขั้นตอนกระบวนการผลิต ก๊าซปิโตรเลียมเหลวเป็นทรัพยากรหลักในการปล่อยก๊าซเรือนกระจก แต่ส่วนใหญ่จะด้อยกว่าก๊าซเรือนกระจกก่อนหน้านี้
translate thai to english,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ  เพื่อพัฒนาสื่อมัลติมีเดียสำหรับชุมชนท้องถิ่นโดยการมีส่วนร่วม และ  ศึกษาผลของการจัดกิจกรรมการเรียนรู้โดยชุมชนเป็นฐาน,The purposes of this research were  to develop multimedia for the local community by participation and  to study the effect of learning activities by community base. 
translate english to thai,The purposes of this research were  to develop multimedia for the local community by participation and  to study the effect of learning activities by community base. ,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ  เพื่อพัฒนาสื่อมัลติมีเดียสำหรับชุมชนท้องถิ่นโดยการมีส่วนร่วม และ  ศึกษาผลของการจัดกิจกรรมการเรียนรู้โดยชุมชนเป็นฐาน
translate thai to english,โครงสร้างผลิตภัณฑ์ กระบวนการผลิต โครงสร้างต้นทุนการผลิตชิ้นส่วนเครื่องจักร ได้แก่ มีการศึกษาต้นทุนวัสดุแฝง (ค่าโสหุ้ย),"Product structure, production process, cost structure for machine parts production namely; cost of materials hidden cost (overhead) were studied."
translate english to thai,"Product structure, production process, cost structure for machine parts production namely; cost of materials hidden cost (overhead) were studied.",โครงสร้างผลิตภัณฑ์ กระบวนการผลิต โครงสร้างต้นทุนการผลิตชิ้นส่วนเครื่องจักร ได้แก่ มีการศึกษาต้นทุนวัสดุแฝง (ค่าโสหุ้ย)
translate thai to english,ผลความพึงพอใจต่อการใช้แอพพลิเคชั่นเส้นทางศึกษาธรรมชาติโคกท่าสีและชุมชนหนองเม็กของผู้ใช้บริการมีค่าเฉลี่ยสูง,The result of the satisfaction towards the use of the application for the nature study path of Kok Tha Si and Nong MeK Community by the users received a high mean. 
translate english to thai,The result of the satisfaction towards the use of the application for the nature study path of Kok Tha Si and Nong MeK Community by the users received a high mean. ,ผลความพึงพอใจต่อการใช้แอพพลิเคชั่นเส้นทางศึกษาธรรมชาติโคกท่าสีและชุมชนหนองเม็กของผู้ใช้บริการมีค่าเฉลี่ยสูง
translate thai to english,การศึกษาเพิ่มเติมพบว่าโดยไม่คำนึงถึงสาเหตุของการเปลี่ยนแปลงคำสั่ง,The study further found that regardless of the causes of variation orders. 
translate english to thai,The study further found that regardless of the causes of variation orders. ,การศึกษาเพิ่มเติมพบว่าโดยไม่คำนึงถึงสาเหตุของการเปลี่ยนแปลงคำสั่ง
